genres_position0,genres_position1,genres_position2,genres_freq,production_companies_position0,production_companies_position1,production_companies_freq,director_position0,director_freq
ScienceFiction,Action,no option,8,others,others,1,Timmiller,2
Action,no option,no option,18,others,others,1,Danielbenmayor,1
Thriller,Mystery,Drama,3,others,others,1,Billyray,1
Action,Adventure,Drama,4,others,others,1,Cedricnicolas-troyan,1
Romance,Adventure,Drama,1,others,others,1,Hanyabu-assad,2
Comedy,Crime,Action,2,others,others,1,Shaneblack,3
Action,no option,no option,18,others,others,1,Nickpowell,2
Drama,History,War,3,others,others,1,Nikicaro,3
Thriller,Horror,Drama,4,others,others,1,Tomharper,2
Action,Comedy,Fantasy,2,others,others,1,Davidf.sandberg,3
Horror,Comedy,Fantasy,2,others,LegendaryPictures,1,Michaeldougherty,2
Horror,Drama,Mystery,2,others,others,1,Henryhobson,1
Action,Adventure,ScienceFiction,31,others,others,1,Stewarthendler,1
Mystery,Drama,Romance,1,others,others,2,Jakeschreier,3
Romance,Comedy,no option,17,others,others,1,Maxnichols,1
Drama,no option,no option,226,others,others,1,Richardloncraine,2
Thriller,Horror,Mystery,3,others,others,1,Michaelg.bartlett,1
Drama,Adventure,ScienceFiction,1,others,others,1,Ridleyscott,8
Adventure,Drama,Thriller,1,others,others,1,Robertzemeckis,5
Horror,Crime,no option,1,others,others,1,Robzombie,3
Thriller,Crime,Drama,10,others,others,1,Rupertwyatt,3
Drama,no option,no option,226,others,others,1,Richardglatzer,1
Drama,no option,no option,226,others,others,1,Danielbarnz,3
Action,Adventure,ScienceFiction,31,MarvelStudios,others,22,Ryancoogler,4
Action,Adventure,Fantasy,1,MarvelStudios,others,22,Taikawaititi,3
Action,Adventure,Fantasy,19,MarvelStudios,others,22,Scottderrickson,4
Adventure,Action,ScienceFiction,8,MarvelStudios,others,22,Jamesgunn,3
Drama,War,no option,10,others,others,1,Caryjojifukunaga,2
Drama,Romance,no option,53,DreamWorksPictures,others,1,Derekcianfrance,2
Horror,no option,no option,50,others,others,1,Ciaránfoy,1
Fantasy,Adventure,Family,1,others,others,1,Timburton,5
Drama,no option,no option,226,others,others,1,Raminbahrani,1
Drama,Comedy,Crime,4,others,others,1,Woodyallen,8
Horror,no option,no option,50,others,others,1,Grégorylevasseur,1
Romance,Comedy,Drama,11,others,others,1,Israelhorovitz,1
Fantasy,Thriller,Action,1,others,others,1,Alexkurtzman,2
Western,Drama,Adventure,1,others,others,1,Alejandrog.iñárritu,2
Drama,ScienceFiction,War,1,others,others,1,Mattreeves,3
Drama,Crime,no option,10,others,others,1,Billcondon,6
Action,Adventure,Animation,2,others,others,1,Mikemitchell,3
Horror,Thriller,Mystery,13,others,others,1,Leighwhannell,3
Comedy,Drama,War,2,others,others,1,Glennficarra,3
Family,Adventure,Drama,1,WaltDisneyPictures,others,1,Jonfavreau,4
Action,Crime,Thriller,31,others,others,1,Dennisgansel,1
Adventure,Animation,Family,1,others,others,6,Michaelthurmeier,1
Adventure,Comedy,Family,1,WaltDisneyPictures,others,1,Ronclements,1
Horror,Thriller,Mystery,13,others,others,1,Levangabriadze,1
Drama,Music,History,5,others,others,1,F.garygray,3
Crime,Thriller,no option,20,others,others,1,Brianhelgeland,2
Adventure,Animation,Comedy,6,others,others,1,Trevorwall,1
Comedy,Drama,Music,2,others,others,1,Jonathandemme,1
Comedy,Animation,no option,2,others,others,1,Brandonsawyer,1
Drama,Romance,ScienceFiction,2,others,others,1,Mortentyldum,2
Family,Animation,Action,1,others,others,1,Charliebean,1
Action,Drama,Fantasy,1,others,others,1,Guyritchie,6
Action,ScienceFiction,Thriller,4,others,others,1,Deandevlin,1
Fantasy,Action,Adventure,3,others,others,1,Breckeisner,1
Drama,Comedy,no option,40,others,others,1,Davido.russell,5
Comedy,no option,no option,138,others,others,1,Seananders,5
Drama,History,no option,36,others,others,1,Rolandemmerich,6
History,Drama,no option,8,others,others,1,Avaduvernay,3
Action,Crime,Thriller,31,others,others,1,Denisvilleneuve,5
Comedy,Horror,no option,17,others,others,1,Christopherlandon,5
Drama,Mystery,Western,1,others,others,1,Quentintarantino,3
Adventure,Drama,no option,7,others,others,1,Boazyakin,2
Romance,Comedy,no option,17,others,others,1,Arisandel,2
Action,History,Adventure,2,others,others,1,Timurbekmambetov,2
Comedy,Romance,no option,47,others,others,1,Juddapatow,3
Action,ScienceFiction,Adventure,1,others,others,1,Liamodonnell,2
Adventure,Action,ScienceFiction,8,MarvelStudios,others,22,Anthonyrusso,5
Family,Animation,Adventure,4,DreamWorksAnimation,others,11,Ericdarnell,2
Adventure,Action,no option,1,others,others,1,Erniebarbarash,3
Action,Comedy,Thriller,1,others,others,1,Rennyharlin,4
ScienceFiction,no option,no option,7,others,others,1,Brianhoriuchi,1
Comedy,Drama,Mystery,2,others,others,1,Ethancoen,2
Horror,Mystery,no option,9,others,others,1,Davidrobertmitchell,3
Comedy,Drama,no option,79,others,others,1,Tomtykwer,2
Animation,Adventure,Family,2,others,WaltDisneyPictures,4,Byronhoward,1
Action,Comedy,Crime,12,others,others,1,Annefletcher,2
Action,Fantasy,ScienceFiction,1,LegendaryPictures,others,1,Stevens.deknight,1
Action,Animation,Comedy,2,DreamWorksAnimation,others,11,Davidsoren,2
Drama,Comedy,no option,40,others,others,1,Johnmadden,3
Adventure,Family,Fantasy,5,WaltDisneyPictures,AmblinEntertainment,1,Stevenspielberg,9
Action,Thriller,no option,42,others,others,1,Babaknajafi,2
Action,Comedy,no option,14,others,others,1,Louisleterrier,2
Fantasy,Adventure,Family,1,others,others,1,Joewright,5
Fantasy,Music,Family,1,others,others,1,Jonm.chu,7
Action,Drama,Crime,2,others,others,1,Pierremorel,2
Comedy,no option,no option,138,others,others,1,Jasonmoore,2
Comedy,Drama,no option,79,others,others,1,Gregoryjacobs,1
Drama,ScienceFiction,no option,6,others,others,1,Alexgarland,2
Western,Drama,no option,4,others,others,1,Tommyleejones,1
Drama,Thriller,no option,38,others,others,1,Lennyabrahamson,1
Drama,Thriller,Horror,3,others,others,1,Eliroth,4
Action,Drama,ScienceFiction,4,others,others,1,Jamesmangold,3
Family,Animation,Comedy,4,others,others,1,Markburton,1
Action,Comedy,ScienceFiction,4,others,others,1,Chriswedge,2
Adventure,ScienceFiction,Action,1,others,others,1,Robertschwentke,4
Action,Adventure,ScienceFiction,3,others,others,1,Robertschwentke,4
Comedy,Action,no option,6,others,others,1,Nimanourizadeh,2
Drama,Crime,History,4,others,others,1,Scottcooper,4
Animation,Adventure,Comedy,4,Pixar,others,3,Brianfee,1
Action,Adventure,Animation,2,WaltDisneyPictures,Pixar,6,Bradbird,3
Thriller,Action,no option,11,others,others,1,Oliviermegaton,2
Crime,Drama,Thriller,18,others,others,1,Benaffleck,2
Comedy,Romance,no option,47,others,others,1,Christianditter,1
Horror,Thriller,no option,78,others,others,1,Jameswan,6
Action,Adventure,Fantasy,19,others,others,1,Davidyates,5
Adventure,Animation,Comedy,6,others,others,1,Waltbecker,2
Fantasy,Action,Adventure,3,others,others,1,Davidyates,5
Romance,Drama,no option,25,others,others,1,Toddhaynes,1
Drama,Fantasy,no option,7,others,others,1,J.a.bayona,3
Thriller,Horror,Mystery,3,others,others,1,Víctorgarcia,1
Drama,Romance,no option,53,others,others,1,Justinchadwick,1
Adventure,Horror,Comedy,1,others,others,1,Robletterman,2
Thriller,Drama,Action,1,others,others,1,Peterbillingsley,1
Horror,Thriller,no option,78,others,others,1,Gregmclean,2
Action,Comedy,ScienceFiction,4,others,others,1,Chriscolumbus,1
Comedy,no option,no option,138,others,others,1,Nancymeyers,1
Comedy,no option,no option,138,others,others,1,Etancohen,2
Action,Adventure,Crime,2,others,others,1,Ericsoncore,1
Comedy,Drama,War,2,others,others,1,Alejandromonteverde,1
Action,Comedy,Family,1,others,others,1,Andyfickman,3
Music,Comedy,Drama,1,others,others,1,Danfogelman,2
War,Drama,no option,5,others,others,1,Russellcrowe,1
Romance,Comedy,Crime,1,others,others,1,Glennficarra,3
Horror,Thriller,no option,78,others,LegendaryPictures,1,Johnerickdowdle,2
Drama,no option,no option,226,others,others,4,Davidgordongreen,10
Crime,Action,Thriller,8,others,others,1,Rogerdonaldson,2
Action,Crime,Drama,4,others,others,1,Camilledelamarre,1
Horror,Comedy,ScienceFiction,1,others,others,1,Bennidiez,1
Comedy,Music,no option,5,others,others,2,Elizabethbanks,3
Horror,ScienceFiction,no option,3,others,others,1,Leighjaniak,1
Action,Drama,Thriller,11,others,others,1,Bradpeyton,4
Comedy,Music,War,1,others,others,1,Barrylevinson,2
Adventure,Drama,History,2,others,others,1,Baltasarkormákur,5
Drama,no option,no option,226,others,others,2,Mikebinder,1
Drama,no option,no option,226,others,others,1,Karenmoncrieff,1
Comedy,Drama,Romance,32,others,others,1,Robreiner,4
Horror,Comedy,no option,8,others,others,1,Glennberggoetz,3
Comedy,no option,no option,138,others,others,1,Jeremygarelick,1
Comedy,no option,no option,138,others,others,1,Andrewerwin,5
Comedy,Drama,Mystery,2,others,others,1,Noahbaumbach,3
Horror,Romance,no option,2,others,others,1,Analilyamirpour,2
Horror,no option,no option,50,others,others,1,Johnr.leonetti,2
Drama,no option,no option,226,others,others,1,Philippefalardeau,1
Drama,Romance,no option,53,others,others,1,Marielleheller,3
Drama,no option,no option,226,others,others,1,Haroldcronk,3
Drama,no option,no option,226,others,others,1,R.j.cutler,1
Action,Crime,Thriller,31,others,others,1,Aleksanderbach,1
Drama,no option,no option,226,others,others,1,Olivierassayas,1
Comedy,Horror,no option,17,others,others,1,Jemaineclement,1
Action,Adventure,ScienceFiction,1,others,others,1,Bryansinger,4
Comedy,Horror,no option,17,others,others,1,Kevinsmith,5
Crime,Drama,Mystery,3,others,others,1,Michaelcuesta,2
Action,Thriller,no option,42,others,others,1,Chadstahelski,3
Adventure,Drama,ScienceFiction,2,others,others,1,Jeffnichols,4
Thriller,Drama,no option,18,others,others,1,Edwardzwick,2
Drama,Music,no option,16,others,others,1,Damienchazelle,5
Drama,no option,no option,226,others,others,4,Katebarker-froyland,1
Drama,no option,no option,226,others,others,1,Craigjohnson,1
Horror,Thriller,Mystery,13,others,others,1,Zacharydonohue,1
Romance,Comedy,Horror,1,others,others,1,Jeffbaena,1
Drama,Comedy,no option,40,others,others,1,Mayaforbes,1
Comedy,Drama,no option,79,others,others,1,Joeswanberg,2
Drama,no option,no option,226,others,others,1,Petersattler,1
Music,Drama,Comedy,1,others,others,1,Williamh.macy,1
Comedy,Drama,Romance,32,others,others,1,Lynnshelton,2
Family,Fantasy,Adventure,3,others,WaltDisneyPictures,1,Timburton,5
Drama,Thriller,no option,38,others,others,1,Farrenblackburn,1
Drama,ScienceFiction,Mystery,3,others,others,1,Denisvilleneuve,5
Comedy,Adventure,Action,1,others,others,1,Benstiller,2
Horror,Thriller,Mystery,13,others,others,1,Jasonzada,1
no option,no option,no option,13,others,others,3,Mattduhamel,3
Thriller,Mystery,Drama,3,others,others,1,Joeledgerton,2
Mystery,Adventure,Crime,1,others,others,1,Henryjoost,3
Adventure,Comedy,Animation,1,others,others,1,Chrisrenaud,3
Comedy,Drama,no option,79,others,others,1,Malcolmd.lee,6
Crime,Drama,Thriller,18,others,others,1,Bradfurman,3
Action,Adventure,ScienceFiction,31,others,others,1,Ilyanaishuller,2
Comedy,Drama,Romance,32,others,others,1,Johnkrasinski,3
Comedy,no option,no option,138,others,others,1,Nicholasstoller,5
Action,Adventure,Animation,1,others,others,1,Bobpersichetti,1
Action,Animation,Comedy,1,others,others,4,Kylebalda,3
Animation,Action,Comedy,1,others,others,1,Chrismckay,2
Drama,History,War,3,others,others,1,Melgibson,1
Action,Thriller,Mystery,6,others,others,1,Paulgreengrass,3
Action,Thriller,Crime,18,others,others,1,Chadstahelski,3
Action,Crime,Thriller,31,others,others,1,Baranboodar,1
Comedy,no option,no option,138,others,others,1,Benfalcone,3
Action,Comedy,no option,14,others,others,1,Timstory,6
Drama,Romance,no option,53,others,others,1,Alexkendrick,3
Drama,History,no option,36,others,others,1,Peterlandesman,2
Drama,History,no option,36,others,others,1,Dannyboyle,2
Family,Fantasy,Romance,1,WaltDisneyPictures,others,3,Billcondon,6
Horror,Thriller,Mystery,13,others,others,1,Williambrentbell,4
Comedy,Drama,Romance,32,others,others,1,Michaelshowalter,2
ScienceFiction,Action,Adventure,11,others,others,1,Simonkinberg,2
Comedy,Drama,History,1,others,others,1,Dexterfletcher,2
Drama,History,no option,36,others,others,2,Cyrusnowrasteh,1
Comedy,Drama,no option,79,others,others,1,Adammckay,4
Documentary,Music,no option,11,others,others,1,Michaeljohnwarren,1
Drama,no option,no option,226,others,others,1,Miranair,2
Action,Horror,Thriller,1,others,others,1,Jamesdemonaco,3
Drama,Horror,ScienceFiction,2,others,others,1,Analilyamirpour,2
Action,Drama,History,1,others,others,1,Garyross,3
Drama,no option,no option,226,others,others,2,Michaelgracey,1
Comedy,no option,no option,138,others,others,1,Jakeszymanski,1
Romance,Comedy,no option,17,others,others,1,Davido.russell,5
Action,Crime,Mystery,1,others,others,1,Rupertsanders,2
Comedy,Drama,no option,79,others,others,1,Stephenfrears,3
Action,Adventure,ScienceFiction,1,MarvelStudios,others,1,Jonwatts,5
Animation,Adventure,Comedy,4,DreamWorksAnimation,others,4,Joelcrawford,2
Drama,Romance,no option,53,others,others,1,Angelinajolie,3
Drama,History,no option,36,others,others,1,Tommccarthy,3
Adventure,Drama,History,2,others,others,1,Jamesgray,4
Horror,Crime,Thriller,1,others,others,1,Jeremysaulnier,2
Comedy,Drama,Romance,1,others,others,1,Damienchazelle,5
Animation,Adventure,Family,5,others,others,3,Travisknight,2
Drama,no option,no option,226,others,others,2,Ryancoogler,4
Romance,Drama,no option,25,others,others,1,Richardtanne,1
Drama,History,no option,36,others,others,1,Johnleehancock,3
Drama,Fantasy,Horror,1,others,others,1,Roberteggers,3
Action,Thriller,Drama,4,others,others,1,Jean-françoisrichet,1
Comedy,Drama,no option,79,others,others,1,Paulweitz,2
Crime,Drama,Comedy,3,others,others,1,Rickfamuyiwa,1
Drama,Comedy,no option,40,others,others,1,Andrewmogel,1
Action,Adventure,Comedy,1,others,others,1,Davegreen,2
Action,Adventure,no option,7,others,others,1,Kazuakikiriya,1
Drama,Comedy,no option,40,others,others,1,Bryanbuckley,1
Comedy,Crime,Drama,5,others,others,1,Toddphillips,4
Comedy,Drama,no option,79,others,others,1,Seanbaker,3
Drama,no option,no option,226,others,others,1,Adamsalky,1
Action,Drama,no option,55,others,others,1,Antoinefuqua,5
Thriller,Horror,no option,24,others,others,1,Karynkusama,2
Drama,no option,no option,226,others,others,1,Tomhooper,3
Romance,Drama,no option,25,others,others,1,Petersollett,1
Action,Adventure,ScienceFiction,31,others,others,1,Deanisraelite,2
Romance,Drama,no option,25,others,others,1,Jackgattanella,1
Thriller,no option,no option,32,others,others,3,Davidm.rosenthal,1
Drama,no option,no option,226,others,others,1,Simoncurtis,3
Comedy,Drama,no option,79,others,others,1,Jean-marcvallée,3
Thriller,Drama,no option,18,others,others,1,Jodiefoster,2
Action,Animation,ScienceFiction,1,others,others,1,Tadayoshiyamamuro,1
Crime,Thriller,Drama,4,others,others,1,Gavinoconnor,4
Action,Comedy,Crime,1,others,others,1,Rawsonmarshallthurber,4
Romance,Comedy,no option,17,others,others,1,Kirkjones,2
Drama,History,Crime,1,others,others,1,Oliverstone,2
Action,Crime,ScienceFiction,1,others,others,1,Arielvromen,2
Comedy,Drama,no option,79,others,others,1,Angelinanikonova,1
Drama,Romance,ScienceFiction,2,others,others,1,Drakedoremus,3
Comedy,no option,no option,138,others,others,1,Jenniferfinnigan,1
Family,Adventure,Animation,1,WaltDisneyPictures,Pixar,6,Joshcooley,1
Thriller,Drama,Horror,3,others,others,1,Nicolaswindingrefn,3
Thriller,no option,no option,32,others,others,1,Fabriceduwelz,1
Drama,Music,Romance,1,others,others,1,Maxjoseph,1
Comedy,Drama,ScienceFiction,2,others,others,1,Alexanderpayne,3
Drama,no option,no option,226,others,others,1,Jamesvanderbilt,1
ScienceFiction,Thriller,Drama,4,others,others,1,Jeffreynachmanoff,1
Action,Drama,History,1,others,WaltDisneyPictures,1,Craiggillespie,5
War,Action,History,1,others,others,1,Michaelbay,6
Thriller,Horror,no option,24,others,others,1,Fedealvarez,3
ScienceFiction,Horror,no option,1,others,others,1,Alexgarland,2
Comedy,Drama,no option,79,others,others,1,Gabydellal,1
Drama,no option,no option,226,others,others,1,Michaelpolish,4
Action,Adventure,Comedy,7,others,others,1,Matthewvaughn,4
Action,Thriller,no option,42,others,others,1,Edwardzwick,2
Drama,no option,no option,226,others,others,1,Mikemills,3
Action,Comedy,Crime,12,others,others,1,Peteratencio,1
Drama,Romance,no option,53,others,others,1,Jamesfoley,2
Action,Thriller,no option,42,others,others,1,Davidleitch,4
Comedy,Music,no option,5,others,others,1,Akivaschaffer,3
Horror,Thriller,no option,78,others,others,1,Gregmclean,2
Action,War,no option,2,others,others,1,Mariovanpeebles,2
Horror,Mystery,ScienceFiction,2,others,others,1,Goreverbinski,3
Drama,Thriller,no option,38,others,others,1,Tomford,1
Drama,no option,no option,226,others,others,1,Kellyreichardt,1
Comedy,Drama,no option,79,others,others,3,Davide.talbert,2
Horror,ScienceFiction,Mystery,1,others,others,1,Joshboone,2
Drama,Thriller,ScienceFiction,2,others,others,1,Jamesponsoldt,3
Family,Drama,no option,5,others,others,1,Patriciariggen,3
Adventure,ScienceFiction,Action,2,others,others,1,Lucbesson,3
Comedy,no option,no option,138,others,others,1,Lesliesmall,3
Comedy,Action,Crime,1,others,others,1,Sethgordon,3
Drama,Romance,no option,53,others,others,1,Jeffnichols,4
Drama,no option,no option,226,others,others,1,Nateparker,2
Comedy,Drama,Romance,32,others,others,1,Woodyallen,8
Drama,History,no option,36,others,others,1,Mimileder,1
War,Action,History,1,others,others,1,Cédricjimenez,1
Drama,no option,no option,226,others,others,1,Maryacohn,1
Crime,Drama,History,1,others,others,1,Kevinconnolly,1
Action,Adventure,Fantasy,19,others,others,1,Roaruthaug,1
Comedy,Horror,no option,17,others,others,1,Rubenfleischer,5
Comedy,Crime,Drama,1,others,others,1,Markwaters,3
Fantasy,Adventure,Action,3,others,others,3,Davidyates,5
Fantasy,Adventure,Action,3,others,others,3,Davidyates,5
Western,Crime,Drama,1,others,others,1,Davidmackenzie,1
Action,ScienceFiction,no option,3,others,others,1,Davewilson,1
Comedy,Crime,no option,14,WaltDisneyPictures,others,1,Craiggillespie,5
Adventure,Fantasy,Drama,1,WaltDisneyPictures,others,1,Nikicaro,3
Action,Crime,Thriller,31,others,others,2,F.garygray,3
Action,Crime,Comedy,2,others,others,1,Dougliman,5
Drama,Romance,no option,53,others,others,1,Jamesfoley,2
Comedy,Drama,no option,79,others,others,1,Lorenescafaria,3
ScienceFiction,Action,Adventure,1,others,others,1,Wesball,3
Drama,no option,no option,226,others,others,1,Natalieportman,1
Drama,no option,no option,226,others,others,1,Elizabethwood,1
Action,Crime,Thriller,31,others,others,1,Scottmann,3
Drama,no option,no option,226,others,others,1,Destindanielcretton,4
Action,Adventure,ScienceFiction,31,others,others,1,Michaelbay,6
ScienceFiction,Drama,no option,4,others,others,1,Denisvilleneuve,5
ScienceFiction,Action,no option,8,others,others,1,Rubenfleischer,5
Animation,Comedy,Family,1,others,others,1,Garthjennings,2
Horror,no option,no option,50,others,others,1,Mikeflanagan,4
Mystery,Thriller,Drama,1,others,others,1,Joncassar,1
Thriller,Action,no option,11,others,others,1,Stevenquale,3
Action,Adventure,no option,7,others,others,1,Rubenfleischer,5
Action,History,Adventure,2,others,others,1,Kevinreynolds,1
Animation,Family,Adventure,5,others,others,1,Calbrunker,3
Family,Animation,Music,1,others,others,1,Jaysonthiessen,1
Thriller,Mystery,Horror,4,others,others,133,Mannyvelazquez,1
Drama,no option,no option,226,others,others,1,Garthdavis,1
Drama,no option,no option,226,others,others,1,Kennethlonergan,2
Adventure,Drama,no option,7,others,others,1,Mattross,1
Adventure,Drama,Thriller,2,others,others,1,Stephengaghan,2
Comedy,no option,no option,138,others,others,1,Jeremygardner,1
Action,no option,no option,18,others,others,1,Jameswatkins,1
Adventure,Animation,Comedy,1,others,others,1,Ashbrannon,1
Drama,no option,no option,226,others,others,1,Andrewerwin,5
Adventure,Action,Western,1,others,others,1,Antoinefuqua,5
Western,Drama,no option,4,others,others,1,Kierandarcy-smith,1
Comedy,Action,Romance,1,others,others,1,Pacocabezas,2
Drama,Action,Crime,4,others,others,1,Ricardodemontreuil,1
Thriller,ScienceFiction,Drama,1,others,others,1,Dantrachtenberg,1
Drama,Comedy,Family,2,others,others,1,Jessienelson,1
ScienceFiction,Adventure,Action,4,AmblinEntertainment,others,1,Stevenspielberg,9
Drama,no option,no option,226,others,others,1,Benyounger,1
Horror,Drama,Thriller,3,others,others,1,Jaumecollet-serra,7
Music,Drama,Romance,3,others,others,1,Bradleycooper,1
Adventure,Animation,Comedy,6,others,others,1,Nicholasstoller,5
Comedy,Drama,Family,3,others,others,1,Stephenherek,2
Drama,Romance,History,3,others,others,1,Gretagerwig,2
Action,Comedy,no option,14,others,others,1,Gregmottola,3
Crime,Drama,Thriller,18,others,others,1,Jerryjameson,1
ScienceFiction,Adventure,Action,4,Lucasfilm,WaltDisneyPictures,1,Ronhoward,5
Drama,Thriller,Action,1,others,others,1,J.d.dillard,2
Drama,War,no option,10,DreamWorksPictures,AmblinEntertainment,1,Jasonhall,1
Action,Thriller,no option,42,others,others,1,Peterberg,5
Drama,no option,no option,226,others,others,1,Haroldcronk,3
Comedy,Drama,Romance,1,others,others,1,Danielkwan,2
Drama,History,no option,36,others,others,1,Ammaasante,1
ScienceFiction,Action,Adventure,11,others,others,1,Shaneblack,3
Action,Crime,Thriller,31,others,others,1,Stephens.campanelli,2
Thriller,Mystery,Drama,3,others,DreamWorksPictures,1,Tatetaylor,4
Fantasy,Action,Thriller,1,others,others,1,Annafoerster,1
Adventure,Comedy,Family,1,others,others,1,Paulking,2
Horror,Fantasy,no option,6,others,others,1,Andymuschietti,2
Action,ScienceFiction,Horror,1,others,others,1,Jonturteltaub,2
Drama,Fantasy,no option,7,others,others,1,Stuarthazeldine,1
Mystery,Thriller,Drama,2,others,others,1,Marcforster,5
Comedy,no option,no option,138,others,others,1,Richiekeen,1
Drama,Romance,no option,53,others,others,1,Davidfrankel,3
Comedy,no option,no option,138,others,others,1,Andrewjaycohen,1
Horror,Thriller,Mystery,13,others,others,1,Davidf.sandberg,3
Action,Thriller,Crime,18,others,others,1,Antoinefuqua,5
Comedy,no option,no option,138,others,others,1,Johnhamburg,1
Family,Animation,Fantasy,1,Pixar,WaltDisneyPictures,7,Leeunkrich,1
Comedy,no option,no option,138,others,others,1,Lawrencesher,1
History,Romance,Drama,1,others,others,1,Terrygeorge,1
no option,no option,no option,13,others,others,133,Tylerspindel,1
Animation,Adventure,Comedy,1,others,others,1,Rossvenokur,1
Comedy,Music,no option,5,others,others,1,Trishsie,2
Comedy,Drama,no option,79,others,others,1,Jeffreyblitz,1
Fantasy,Action,ScienceFiction,1,others,others,1,Nikolajarcel,1
Adventure,Action,Comedy,1,others,others,1,Jakekasdan,4
Action,Adventure,no option,7,others,others,1,Christophermcquarrie,3
Crime,Comedy,no option,4,others,others,1,Zachbraff,2
Comedy,Drama,Romance,32,others,others,1,Garrymarshall,2
Romance,Comedy,no option,17,others,others,1,Michaeltiddes,3
Crime,Thriller,no option,20,others,others,1,Danielcalparsoro,1
Action,Adventure,ScienceFiction,3,AmblinEntertainment,others,3,J.a.bayona,3
Thriller,Horror,no option,24,others,others,1,Adamwingard,4
Comedy,Drama,Fantasy,1,DreamWorksPictures,others,1,Robertzemeckis,5
Drama,no option,no option,226,others,others,1,Brianbaugh,1
Action,Drama,no option,55,others,others,1,Georgenolfi,2
Action,Horror,ScienceFiction,5,others,others,3,Markatkins,1
Adventure,ScienceFiction,Family,1,others,WaltDisneyPictures,1,Avaduvernay,3
Crime,Drama,Thriller,1,others,others,1,Kathrynbigelow,2
Drama,Family,no option,9,others,others,1,Stephenchbosky,3
Thriller,ScienceFiction,Action,1,others,others,1,Drewpearce,1
ScienceFiction,no option,no option,7,others,others,1,Rolandemmerich,6
Horror,Mystery,Thriller,22,others,others,1,Adamrobitel,4
War,Thriller,Drama,1,others,others,1,Dougliman,5
Drama,no option,no option,226,others,others,1,Domekarukoski,2
Thriller,Action,Mystery,2,others,others,1,Antonionegret,2
Family,Drama,no option,5,others,others,1,Rogerspottiswoode,1
Family,Animation,Comedy,4,WaltDisneyPictures,others,5,Philjohnston,1
Drama,War,History,1,others,others,1,Terrencemalick,2
Horror,Drama,Thriller,1,others,others,1,Johannesroberts,4
Crime,Comedy,Action,4,others,others,1,Garyross,3
Drama,Music,no option,16,others,others,1,Bennyboom,2
Drama,History,no option,36,others,others,1,Mickjackson,1
Mystery,Thriller,no option,2,others,others,1,Francislawrence,5
Documentary,no option,no option,106,others,others,1,Lindsaykent,1
Crime,Thriller,no option,20,others,others,1,Stevemcqueen,2
Drama,no option,no option,226,others,others,1,Patnecerato,1
Drama,Comedy,no option,40,others,others,1,Marcwebb,3
Drama,Horror,Thriller,4,others,others,1,Nielsardenoplev,2
Fantasy,Family,Comedy,2,WaltDisneyPictures,others,2,Robmarshall,3
Drama,Romance,no option,53,others,others,1,Paulthomasanderson,4
Action,Crime,Drama,12,others,others,1,Stefanosollima,1
Family,Animation,Fantasy,1,others,others,1,Timhill,3
Comedy,Animation,Adventure,1,others,others,1,Dylanbrown,1
Animation,Comedy,Family,5,others,others,4,Genndytartakovsky,3
Comedy,no option,no option,138,others,others,1,Benfalcone,3
Action,ScienceFiction,Adventure,8,others,others,1,Robertrodriguez,3
Action,Fantasy,ScienceFiction,2,LegendaryPictures,others,3,Adamwingard,4
Drama,History,no option,36,others,others,1,Joewright,5
Action,Thriller,no option,42,others,others,1,Donovanmarsh,1
Thriller,Horror,Drama,1,others,others,1,Sergiog.sánchez,1
Adventure,Drama,no option,7,others,others,1,Alberthughes,1
Adventure,Comedy,Animation,1,others,others,1,Wesanderson,4
Action,Crime,Thriller,31,others,others,1,Walterhill,2
Action,Comedy,Crime,1,others,others,1,Stevensoderbergh,8
Drama,Fantasy,Romance,3,others,others,1,Guillermodeltoro,5
Action,Thriller,Mystery,6,others,others,1,Jaumecollet-serra,7
Drama,no option,no option,226,others,others,1,Sofiacoppola,2
Crime,Drama,History,1,others,others,1,Martinscorsese,4
Romance,Drama,no option,25,others,others,1,Lucaguadagnino,3
Action,Comedy,no option,14,others,others,1,Ronshelton,1
Drama,Mystery,Thriller,1,others,others,1,Ryrusso-young,2
Drama,Comedy,no option,40,others,others,1,Luciaaniello,1
Crime,Drama,Mystery,1,others,others,1,Davidrobertmitchell,3
Horror,Mystery,Thriller,22,others,others,1,Davidf.sandberg,3
Drama,Crime,no option,10,others,others,1,Aaronsorkin,2
Drama,no option,no option,226,others,others,1,Davidgordongreen,10
Horror,ScienceFiction,Mystery,2,others,others,1,Danielespinosa,4
Drama,Action,History,2,others,others,1,Josephkosinski,3
Action,Crime,Drama,12,others,others,1,Eliroth,4
Crime,Drama,Mystery,3,others,others,1,Taylorsheridan,2
Thriller,Crime,Drama,2,others,others,1,Georgeclooney,4
Comedy,Drama,no option,79,others,others,1,Jons.baird,2
Drama,no option,no option,226,others,others,1,Seanbaker,3
Drama,Horror,no option,3,others,others,1,Juliaducournau,1
Drama,no option,no option,226,others,others,1,Denzelwashington,2
Horror,Thriller,no option,78,others,others,2,Donmancini,2
Drama,no option,no option,226,others,others,1,Reginaldhudlin,1
Drama,Mystery,Crime,1,others,others,1,Kennethbranagh,5
History,Documentary,no option,1,others,others,2,Dineshdsouza,3
Drama,Comedy,no option,40,others,others,1,Gretagerwig,2
Drama,Thriller,no option,38,others,others,1,Elliottlester,2
