genres_position0,genres_position1,genres_position2,genres_freq,production_companies_position0,production_companies_position1,production_companies_freq,director_position0,director_freq
Action,Adventure,ScienceFiction,31,others,others,1,Francislawrence,5
ScienceFiction,Adventure,Thriller,1,others,others,3,Francislawrence,5
Drama,no option,no option,226,others,others,1,Jasonreitman,5
Drama,Adventure,no option,2,others,others,1,Alexanderpayne,3
Comedy,Romance,no option,47,others,others,1,Maggiecarey,1
Drama,no option,no option,226,others,others,1,Davidchase,1
Action,Adventure,ScienceFiction,31,others,others,1,Bryansinger,4
Drama,Thriller,no option,38,others,others,1,Henryalexrubin,1
Action,Crime,Thriller,31,others,others,1,Simonwest,4
Adventure,Animation,Comedy,6,Pixar,WaltDisneyPictures,7,Andrewstanton,2
Drama,no option,no option,226,others,others,1,Scottmcgehee,1
ScienceFiction,Horror,Mystery,1,others,others,1,Ridleyscott,8
Documentary,no option,no option,106,others,others,133,Dineshdsouza,3
Action,Drama,ScienceFiction,4,LegendaryPictures,others,3,Garethedwards,1
Comedy,no option,no option,138,others,others,1,Donscardino,1
Fantasy,Action,Mystery,1,others,others,1,Haraldzwart,1
Horror,Thriller,no option,78,others,others,1,Ryûheikitamura,1
Horror,Thriller,no option,78,others,others,1,Nicoláslópez,1
Action,Adventure,Fantasy,19,others,others,1,Peterjackson,3
Action,ScienceFiction,Thriller,4,others,others,1,Johnhyams,2
Drama,Crime,no option,10,others,others,1,Harmonykorine,2
Action,Adventure,ScienceFiction,31,others,others,1,Justinkurzel,2
Comedy,Drama,no option,79,others,others,1,Wesanderson,4
Comedy,Family,no option,8,others,others,1,Johnwhitesell,2
Drama,Romance,no option,53,others,others,1,Stevensoderbergh,8
Thriller,Drama,no option,18,others,others,1,Simonyin,1
ScienceFiction,Action,Drama,2,others,others,1,Mattreeves,3
Action,Crime,no option,13,others,others,1,Taylorhackford,2
Action,ScienceFiction,Adventure,8,MarvelStudios,others,22,Jamesgunn,3
Action,Thriller,no option,42,others,others,1,Antoinefuqua,5
Action,Drama,Thriller,11,others,others,1,Rolandemmerich,6
Action,Animation,Comedy,2,others,others,1,Lawrencekasanoff,1
Adventure,Comedy,Drama,1,others,others,1,Benstiller,2
Comedy,no option,no option,138,others,others,1,Shawnlevy,5
Animation,Adventure,Family,2,others,others,6,Chriswedge,2
Comedy,Adventure,Family,1,others,others,1,Paulking,2
Drama,History,no option,36,others,others,1,Joshuamichaelstern,1
Drama,Thriller,no option,38,others,others,1,Robertluketic,1
Comedy,no option,no option,138,others,others,1,Patriciamartínezdevelasco,1
Comedy,no option,no option,138,others,others,3,Jaredcohn,1
Comedy,Music,Romance,1,others,others,2,Jasonmoore,2
Drama,Romance,Comedy,3,others,others,1,Benlewin,2
Romance,Thriller,no option,2,others,others,1,Lassehallström,4
Drama,no option,no option,226,others,others,1,Sachagervasi,1
Crime,Comedy,Action,4,others,others,1,Lucbesson,3
Drama,Music,no option,16,others,others,1,Randallmiller,1
Action,ScienceFiction,Drama,2,others,others,1,Bongjoonho,2
Thriller,Drama,no option,18,others,others,1,Paulschrader,3
Action,Comedy,Romance,2,others,others,1,Davidpalmer,1
